Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,GeoCode,Value
2023,A,0,Zimstat,SL_TLF_NEET_19ICLS,,,Y15T24,PT,,45.4
2024,A,0,Zimstat,SL_TLF_NEET_19ICLS,,,Y15T24,PT,,48.1
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,,F,Y15T24,PT,,51.1
2024,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,,F,Y15T24,PT,,55.6
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,,M,Y15T24,PT,,39.8
2024,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,,M,Y15T24,PT,,40.3
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_BA,,Y15T24,PT,ZW_BA,39.798601920029824
2024,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_BA,,Y15T24,PT,ZW_BA,44.3
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_BA,F,Y15T24,PT,ZW_BA,42.36789642565211
2024,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_BA,F,Y15T24,PT,ZW_BA,46.2
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_BA,M,Y15T24,PT,ZW_BA,36.59796352101081
2024,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_BA,M,Y15T24,PT,ZW_BA,41.8
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_HA,,Y15T24,PT,ZW_HA,37.68083539198772
2024,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_HA,,Y15T24,PT,ZW_HA,44.7
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_HA,F,,PT,ZW_HA,0.0
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_HA,F,Y15T24,PT,ZW_HA,42.20754433815757
2024,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_HA,F,Y15T24,PT,ZW_HA,53.2
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_HA,M,Y15T24,PT,ZW_HA,32.126076064404224
2024,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_HA,M,Y15T24,PT,ZW_HA,34.0
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MA,,Y15T24,PT,ZW_MA,45.4659656632392
2024,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MA,,Y15T24,PT,ZW_MA,47.0
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MA,F,Y15T24,PT,ZW_MA,49.93627981408934
2024,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MA,F,Y15T24,PT,ZW_MA,50.4
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MA,M,Y15T24,PT,ZW_MA,41.10512449129034
2024,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MA,M,Y15T24,PT,ZW_MA,43.8
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MC,,Y15T24,PT,ZW_MC,47.41867891637377
2024,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MC,,Y15T24,PT,ZW_MC,55.6
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MC,F,Y15T24,PT,ZW_MC,55.835960087233296
2024,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MC,F,Y15T24,PT,ZW_MC,63.7
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MC,M,Y15T24,PT,ZW_MC,40.265448567655696
2024,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MC,M,Y15T24,PT,ZW_MC,47.4
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_ME,,Y15T24,PT,ZW_ME,43.76511990649829
2024,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_ME,,Y15T24,PT,ZW_ME,43.76511990649829
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_ME,F,Y15T24,PT,ZW_ME,51.54889102087138
2024,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_ME,F,Y15T24,PT,ZW_ME,54.0
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_ME,M,Y15T24,PT,ZW_ME,36.41777059728848
2024,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_ME,M,Y15T24,PT,ZW_ME,32.4
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MI,,Y15T24,PT,ZW_MI,46.79541641495194
